#{"t_start": 1763389148.7212527, "env_id": "None"}
r,l,t
-57.5,22,27.548037
-64.0,37,27.575059
-65.7,38,28.299158
-73.4,39,28.417962
-60.5,29,28.44114
-51.2,29,28.659146
-54.2,32,28.68137
-90.9,48,28.807651
-101.2,54,28.95701
-106.3,60,29.119681
-123.7,61,29.700138
-98.1,51,29.738336
-100.4,51,29.820197
-123.2,61,30.169076
-122.0,70,30.271702
-45.2,26,30.355212
-88.1,43,30.386225
-101.4,52,30.475191
-73.9,32,30.577233
-61.4,27,30.598551
-57.8,28,30.618073
-108.1,61,30.757999
-117.6,59,30.881335
-131.2,68,31.033887
-107.3,60,31.152578
-67.2,38,31.261599
-80.6,41,31.377809
-96.2,47,31.798604
-81.3,44,32.264333
-92.2,46,33.002076
-64.3,37,33.041107
-80.0,39,33.375459
-61.5,32,33.404634
-87.0,48,33.774376
-77.2,41,34.303114
-72.8,40,34.723328
-40.2,19,36.131386
-52.8,30,36.155745
-51.8,31,36.610911
-56.9,33,36.633929
-61.0,32,36.904821
-66.2,36,36.927594
-70.1,37,37.082377
-61.0,35,37.105194
-93.5,48,37.244895
-67.6,36,37.421754
-67.2,37,37.443925
-27.5,15,37.453436
-89.1,44,37.636839
