#{"t_start": 1763473974.7686002, "env_id": "None"}
r,l,t
-28.11,17,7.310086
-50.58,42,7.336074
-45.85,41,7.377052
-48.1,42,10.161569
-43.05,37,10.849462
-36.48,28,11.103705
-37.6,33,11.348259
-27.91,17,11.556646
-42.15,36,11.853413
-38.63,29,12.067176
-48.65,41,12.156507
-33.6285,29,12.211811
-36.7,29,12.308517
-36.03,24,12.408123
-63.5,53,12.549145
-36.08,26,12.821837
-43.65,36,13.153059
-39.65,34,13.481484
-41.15,33,13.712462
-34.2,29,14.120603
-38.95,29,14.425426
-30.86,20,14.512248
-41.6,30,14.581687
-47.85,42,14.716972
